CPT code,String
19302,MASTECTOMY PARTIAL W/AXILLARY LYMPHADENECTOMY
24359,TNOT ELBOW LATERAL/MEDIAL DEBRIDE OPEN TDN RPR
27760,CLTX MEDIAL MALLEOLUS FX W/O MANIPULATION
29905,ARTHROSCOPY SUBTALAR JOINT WITH SYNOVECTOMY
30140,SUBMUCOUS RESCJ INFERIOR TURBINATE PRTL/COMPL
31530,LARYNGOSCOPY W/FOREIGN BODY REMOVAL
33677,CLOSURE MULTIPLE VSD W/REMOVAL ARTERY BAND
35305,TEAEC W/GRAFT TIBIAL/PERONEAL ART 1ST VESSEL
43772,LAPS GASTRIC RESTRICTIVE PX REMOVE DEVICE
43774,LAPS GASTRIC RESTRICTIVE PX REMOVE DEVICE & PORT
44211,LAPS COLCT TTL ABD W/PRCTECT ILEOANAL ANASTOMSIS
46712,RPR ILEOANAL POUCH FSTL/POUCH ADVMNT CMBN APPR
49440,INSERT GASTROSTOMY TUBE PERCUTANEOUS
49441,INSERT DUODENOSTOMY/JEJUNOSTOMY TUBE PERQ
51101,ASPIRATION BLADDER TROCAR/INTRACATHETER
58542,LAPS SUPRACRV HYSTERECT 250 GM/< RMVL TUBE/OVAR
58544,LAPS SUPRACRV HYSTEREC >250 G RMVL TUBE/OVARY
64595,REVISION/RMVL PERIPHERAL/GASTRIC NPGR
64653,CHEMODENERVATION ECCRINE GLANDS OTH AREA PER DAY
67043,VITRECTOMY PARS PLANA REMOVE SUBRETINAL MEMBRANE
75557,CARDIAC MRI MORPHOLOGY & FUNCTION W/O CONTRAST
77012,CT GUIDANCE NEEDLE PLACEMENT
77054,MAMMARY DUCTOGRAM OR GALACTOGRAM MULTIPLE
77072,BONE AGE STUDIES
77373,STEREOTACTIC BODY RADIATION DELIVERY
78601,BRAIN IMAGING <4 STATIC VIEWS W/VASCULAR FLOW
78707,KIDNEY IMG MORPHOLOGY VASCULAR FLOW 1 W/O RX
82805,GASES BLOOD PH DIRECT MEAS XCPT PULSE OXIMITRY
91020,GASTRIC MOTILITY MANOMETRIC STUDIES
92630,AUDITORY REHABILITATION PRELINGUAL HEARING LOSS
96423,CHEMOTHERAPY ADMN INTRAARTERIAL INFUSION EA HR
96904,WHOLE BODY INTEGUMENTARY PHOTOGRAPHY
