Parent,Child
LP29693-6,LP158133-1
LP29693-6,LP7798-4
LP29693-6,LP7844-6
LP29693-6,LP7776-0
LP29693-6,LP7756-2
LP29693-6,LP7851-1
LP29693-6,LP343406-7
LP29693-6,LP7789-3
LP29693-6,LP7846-1
LP29693-6,LP65557-8
LP29693-6,LP7791-9
LP29693-6,LP7806-5
LP29693-6,LP35960-1
LP29693-6,LP71800-4
LP29693-6,LP343631-0
LP29693-6,LP248770-2
LP29693-6,LP7785-1
LP29693-6,LP7788-5
LP29693-6,LP7839-6
LP29693-6,LP7820-6
LP29693-6,LP7790-1
LP29693-6,LP7803-2
LP29693-6,LP7822-2
LP29693-6,LP7783-6
LP343406-7,LP7819-8
LP343406-7,LP7755-4
LP7819-8,LP7835-4
LP7819-8,LP14559-6
LP7819-8,LP100321-1
LP7819-8,LP30608-1
LP7819-8,LP30609-9
LP14559-6,LP14398-9
LP14559-6,LP98186-7
LP14559-6,LP217193-4
LP14559-6,LP98185-9
LP14559-6,LP14855-8
LP14559-6,LP373669-3
LP98185-9,LP14160-3
LP98185-9,LP30586-9
LP98185-9,LP17149-3
LP98185-9,LP105047-7
LP98185-9,LP16729-3
LP98185-9,LP36462-7
LP98185-9,LP14082-9
LP98185-9,LP14264-3
LP98185-9,LP30587-7
LP98185-9,LP19585-6
LP98185-9,LP16648-5
LP98185-9,LP30545-5
LP98185-9,LP150159-4
LP98185-9,LP140669-5
LP98185-9,LP18667-3
LP98185-9,LP30494-6
LP98185-9,LP16652-7
LP98185-9,LP19448-7
LP98185-9,LP157815-4
LP98185-9,LP37205-9
LP98185-9,LP343401-8
LP98185-9,LP14801-2
LP98185-9,LP21192-7
LP98185-9,LP30597-6
LP98185-9,LP262348-8
LP98185-9,LP121345-5
LP98185-9,LP420758-7
LP98185-9,LP18336-5
LP98185-9,LP30573-7
LP98185-9,LP429501-2
LP98185-9,LP411486-6
LP98185-9,LP16783-0
LP98185-9,LP14327-8
LP98185-9,LP30595-0
LP98185-9,LP411483-3
LP98185-9,LP30576-0
LP98185-9,LP220345-5
LP98185-9,LP30496-1
LP98185-9,LP17131-1
LP98185-9,LP426548-6
LP98185-9,LP30497-9
LP98185-9,LP17142-8
LP98185-9,LP19642-5
LP98185-9,LP18293-8
LP98185-9,LP14494-6
LP98185-9,LP30565-3
LP98185-9,LP17202-0
LP98185-9,LP426558-5
LP98185-9,LP186232-7
LP98185-9,LP18556-8
LP98185-9,LP105048-5
LP98185-9,LP268180-9
LP98185-9,LP426552-8
LP98185-9,LP426557-7
LP98185-9,LP105046-9
LP98185-9,LP343402-6
LP98185-9,LP429539-2
LP98185-9,LP30568-7
LP98185-9,LP17146-9
LP98185-9,LP422259-4
LP98185-9,LP17108-9
LP98185-9,LP14811-1
LP98185-9,LP267095-0
LP98185-9,LP185692-3
LP98185-9,LP140671-1
LP98185-9,LP133406-1
LP98185-9,LP105050-1
LP98185-9,LP30579-4
LP98185-9,LP16665-9
LP98185-9,LP28650-7
LP98185-9,LP16750-9
LP98185-9,LP19949-4
LP98185-9,LP268093-4
LP98185-9,LP14436-7
LP98185-9,LP431620-6
LP98185-9,LP248363-6
LP98185-9,LP411482-5
LP98185-9,LP417666-7
LP98185-9,LP426555-1
LP98185-9,LP105049-3
LP98185-9,LP30559-6
LP98185-9,LP16742-6
LP98185-9,LP171722-4
LP98185-9,LP310336-5
LP98185-9,LP30594-3
LP98185-9,LP422766-8
LP98185-9,LP28822-2
LP98185-9,LP16647-7
LP98185-9,LP14250-2
LP98185-9,LP411479-1
LP98185-9,LP426553-6
LP98185-9,LP19871-0
LP98185-9,LP185678-2
LP98185-9,LP140670-3
LP98185-9,LP63457-3
LP98185-9,LP21268-5
LP98185-9,LP418136-0
LP98185-9,LP21118-2
LP98185-9,LP135277-4
LP98185-9,LP16763-2
LP98185-9,LP19217-6
LP98185-9,LP14260-1
LP98185-9,LP247825-5
LP98185-9,LP30574-5
LP98185-9,LP30567-9
LP98185-9,LP30590-1
LP98185-9,LP28877-6
LP98185-9,LP30566-1
LP98185-9,LP115359-4
LP98185-9,LP247804-0
LP98185-9,LP172705-8
LP98185-9,LP343946-2
LP98185-9,LP17232-7
LP98185-9,LP16655-0
LP98185-9,LP17119-6
LP98185-9,LP220260-6
LP98185-9,LP30498-7
LP98185-9,LP417887-9
LP98185-9,LP33503-1
LP98185-9,LP40282-3
LP98185-9,LP265737-9
LP98185-9,LP30495-3
LP14082-9,LP373683-4
LP14082-9,LP373672-7
LP14082-9,LP373680-0
LP14082-9,LP373678-4
LP14082-9,LP373682-6
LP14082-9,LP373679-2
LP14082-9,LP373675-0
LP14082-9,LP373670-1
LP14082-9,LP373671-9
LP14082-9,LP402462-8
LP14082-9,LP373676-8
LP14082-9,LP400907-4
LP14082-9,LP373681-8
LP14082-9,LP418667-4
LP14082-9,LP373677-6
LP14082-9,LP263671-2
LP14082-9,LP402461-0
LP14082-9,LP373673-5
LP14082-9,LP373674-3
LP418667-4,95074-1
LP373670-1,99932-6
LP373670-1,41599-2
LP373671-9,41602-4
LP373672-7,44022-2
LP373673-5,44039-6
LP373674-3,12178-0
LP373675-0,20695-3
LP373676-8,18192-5
LP373677-6,41598-4
LP373678-4,41601-6
LP373679-2,41603-2
LP373681-8,41600-8
LP373681-8,11101-3
LP373682-6,44243-4
LP373682-6,44023-0
LP373683-4,32763-5
LP373683-4,44038-8
LP172705-8,LP373684-2
LP373684-2,73733-8
LP310336-5,LP373685-9
LP373685-9,91895-3
LP373685-9,612-2
LP37205-9,LP373745-1
LP37205-9,LP373713-9
LP37205-9,LP373736-0
LP37205-9,LP373751-9
LP37205-9,LP373694-1
LP37205-9,LP373721-2
LP37205-9,LP373764-2
LP37205-9,LP373760-0
LP37205-9,LP373722-0
LP37205-9,LP373742-8
LP37205-9,LP373748-5
LP37205-9,LP373747-7
LP37205-9,LP373716-2
LP37205-9,LP373717-0
LP37205-9,LP373743-6
LP37205-9,LP373746-9
LP37205-9,LP183758-4
LP37205-9,LP373695-8
LP37205-9,LP373761-8
LP37205-9,LP373704-8
LP37205-9,LP373693-3
LP37205-9,LP373703-0
LP37205-9,LP373724-6
LP37205-9,LP373741-0
LP37205-9,LP373699-0
LP37205-9,LP373709-7
LP37205-9,LP373715-4
LP37205-9,LP373706-3
LP37205-9,LP373702-2
LP37205-9,LP373725-3
LP37205-9,LP373755-0
LP37205-9,LP373729-5
LP37205-9,LP373707-1
LP37205-9,LP373752-7
LP37205-9,LP373762-6
LP37205-9,LP373696-6
LP37205-9,LP373757-6
LP37205-9,LP373765-9
LP37205-9,LP183553-9
LP37205-9,LP373711-3
LP37205-9,LP373739-4
LP37205-9,LP373719-6
LP37205-9,LP373744-4
LP37205-9,LP373698-2
LP37205-9,LP373740-2
LP37205-9,LP373705-5
LP37205-9,LP373750-1
LP37205-9,LP201734-3
LP37205-9,LP373712-1
LP37205-9,LP373768-3
LP37205-9,LP373731-1
LP37205-9,LP373710-5
LP37205-9,LP373735-2
LP37205-9,LP373732-9
LP37205-9,LP373738-6
LP37205-9,LP373737-8
LP37205-9,LP373758-4
LP37205-9,LP373756-8
LP37205-9,LP373726-1
LP37205-9,LP373734-5
LP37205-9,LP373767-5
LP37205-9,LP373701-4
LP37205-9,LP373728-7
LP37205-9,LP373723-8
LP37205-9,LP373727-9
LP37205-9,LP373718-8
LP37205-9,LP373763-4
LP37205-9,LP373700-6
LP37205-9,LP373697-4
LP37205-9,LP373733-7
LP37205-9,LP373720-4
LP37205-9,LP373759-2
LP37205-9,LP373708-9
LP37205-9,LP373730-3
LP37205-9,LP373749-3
LP37205-9,LP373754-3
LP37205-9,LP373753-5
LP37205-9,LP373714-7
LP183553-9,LP267097-6
LP183553-9,LP183526-5
LP183553-9,LP411470-0
LP183526-5,LP373686-7
LP373686-7,88261-3
LP373686-7,74731-1
LP267097-6,LP267096-8
LP267096-8,LP373687-5
LP373687-5,90069-6
LP411470-0,LP427561-8
LP427561-8,93389-5
LP373693-3,75357-4
LP373693-3,595-9
LP373694-1,596-7
LP373694-1,87933-8
LP373694-1,87929-6
LP183758-4,LP343315-0
LP183758-4,LP200125-5
LP183758-4,LP267092-7
LP183758-4,LP183759-2
LP183759-2,LP373688-3
LP373688-3,75688-2
LP373688-3,88259-7
LP267092-7,LP267088-5
LP267088-5,LP373689-1
LP373689-1,90068-8
LP200125-5,LP373690-9
LP373690-9,78702-8
LP343315-0,LP427562-6
LP427562-6,92769-9
LP201734-3,LP200482-0
LP200482-0,LP373692-5
LP200482-0,LP373691-7
LP373691-7,79390-1
LP373692-5,88516-0
LP373695-8,52966-9
LP373696-6,597-5
LP373696-6,43411-8
LP373696-6,598-3
LP373697-4,88683-8
LP373697-4,43441-5
LP373698-2,74355-9
LP373699-0,87934-6
LP373699-0,90270-0
LP373699-0,53911-4
LP373700-6,17929-1
LP373700-6,17930-9
LP373700-6,17936-6
LP373700-6,45276-3
LP373700-6,17933-3
LP373700-6,17928-3
LP373700-6,600-7
LP373700-6,45275-5
LP373700-6,17934-1
LP373700-6,48724-9
LP373700-6,17931-7
LP373700-6,17935-8
LP373700-6,17932-5
LP373700-6,48727-2
LP373701-4,87954-4
LP373701-4,87955-1
LP373702-2,610-6
LP373702-2,17951-5
LP373702-2,17956-4
LP373702-2,17954-9
LP373702-2,17955-6
LP373702-2,17957-2
LP373702-2,17952-3
LP373702-2,17953-1
LP373702-2,611-4
LP373702-2,17958-0
LP373703-0,602-3
LP373703-0,17875-6
LP373703-0,17876-4
LP373703-0,17877-2
LP373703-0,17873-1
LP373703-0,75358-2
LP373703-0,17874-9
LP373704-8,75359-0
LP373704-8,19126-2
LP373704-8,60258-1
LP373705-5,32810-4
LP373705-5,17880-6
LP373705-5,604-9
LP373705-5,17878-0
LP373705-5,17881-4
LP373705-5,17882-2
LP373705-5,17879-8
LP373706-3,43442-3
LP373707-1,17940-8
LP373707-1,17937-4
LP373707-1,87930-4
LP373707-1,17939-0
LP373707-1,87936-1
LP373707-1,17938-2
LP373707-1,603-1
LP373707-1,17941-6
LP373708-9,605-6
LP373709-7,56714-9
LP373710-5,88142-5
LP373711-3,60257-3
LP373712-1,75518-1
LP373712-1,88236-5
LP373712-1,606-4
LP373712-1,87937-9
LP373713-9,19128-8
LP373713-9,90274-2
LP373713-9,90273-4
LP373714-7,43410-0
LP373714-7,12281-2
LP373714-7,14475-8
LP373715-4,9822-8
LP373716-2,90277-5
LP373716-2,90280-9
LP373716-2,60032-0
LP373717-0,607-2
LP373718-8,53616-9
LP373718-8,53615-1
LP373718-8,53614-4
LP373718-8,53617-7
LP373719-6,608-0
LP373720-4,53908-0
LP373721-2,74816-0
LP373721-2,609-8
LP373722-0,6459-2
LP373723-8,52967-7
LP373724-6,17885-5
LP373724-6,10352-3
LP373724-6,17883-0
LP373724-6,91865-6
LP373724-6,47293-6
LP373724-6,17884-8
LP373724-6,75269-1
LP373724-6,17887-1
LP373724-6,17886-3
LP373725-3,87931-2
LP373725-3,87938-7
LP373725-3,78356-3
LP373726-1,42803-7
LP373726-1,75756-7
LP373726-1,42661-9
LP373726-1,42806-0
LP373726-1,20878-5
LP373726-1,32367-5
LP373726-1,43409-2
LP373726-1,20877-7
LP373727-9,17946-5
LP373727-9,616-3
LP373727-9,17944-0
LP373727-9,17943-2
LP373727-9,17945-7
LP373727-9,17942-4
LP373728-7,20693-8
LP373729-5,20879-3
LP373730-3,73960-7
LP373730-3,91866-4
LP373731-1,17888-9
LP373731-1,17921-8
LP373731-1,10353-1
LP373731-1,17889-7
LP373731-1,17890-5
LP373731-1,17891-3
LP373731-1,17922-6
LP373731-1,17892-1
LP373732-9,43214-6
LP373732-9,43426-6
LP373733-7,88141-7
LP373733-7,88139-1
LP373734-5,14478-2
LP373735-2,56715-6
LP373735-2,87939-5
LP373735-2,90271-8
LP373736-0,17960-6
LP373736-0,17959-8
LP373736-0,17962-2
LP373736-0,17963-0
LP373736-0,90281-7
LP373736-0,619-7
LP373736-0,87940-3
LP373736-0,17961-4
LP373737-8,87941-1
LP373737-8,617-1
LP373738-6,618-9
LP373738-6,17279-1
LP373738-6,87942-9
LP373739-4,79425-5
LP373739-4,89643-1
LP373739-4,89644-9
LP373740-2,91818-5
LP373740-2,91819-3
LP373741-0,53558-3
LP373741-0,90279-1
LP373741-0,90276-7
LP373741-0,13314-0
LP373742-8,87943-7
LP373742-8,87932-0
LP373742-8,43307-8
LP373743-6,620-5
LP373744-4,52973-5
LP373745-1,17897-0
LP373745-1,624-7
LP373745-1,17894-7
LP373745-1,17895-4
LP373745-1,623-9
LP373745-1,6460-0
LP373745-1,622-1
LP373745-1,17896-2
LP373745-1,19127-0
LP373745-1,17893-9
LP373746-9,6461-8
LP373746-9,17968-9
LP373746-9,17967-1
LP373746-9,625-4
LP373746-9,17965-5
LP373746-9,17964-8
LP373746-9,17966-3
LP373747-7,87944-5
LP373747-7,621-3
LP373747-7,90278-3
LP373748-5,626-2
LP373748-5,17899-6
LP373748-5,17903-6
LP373748-5,17901-0
LP373748-5,17900-2
LP373748-5,17898-8
LP373748-5,17902-8
LP373749-3,43408-4
LP373749-3,627-0
LP373749-3,20474-3
