Parent,Child
8.0,8.5
8.0,8.7
8.0,8.51
8.0,8.52
8.0,8.6
8.5,8.51
8.5,8.52
480.1,480.11
480.1,480.12
480.1,480.13
711.0,711.2
711.0,711.3
711.0,711.1
710.1,710.11
710.1,710.12
710.1,710.19
41.0,41.2
41.0,41.1
41.0,41.11
41.0,41.12
41.0,41.4
41.0,41.8
41.0,41.21
41.0,41.9
686.0,686.1
686.0,686.2
686.0,686.3
686.0,686.5
686.0,686.4
369.0,369.2
369.0,369.5
31.0,31.1
465.0,465.2
465.0,465.4
592.1,592.11
592.1,592.13
592.1,592.12
41.2,41.21
323.0,323.8
323.0,323.2
420.0,420.1
420.0,420.2
420.0,420.3
420.0,420.21
420.0,420.22
420.2,420.21
420.2,420.22
38.0,38.1
38.0,38.2
38.0,38.3
41.1,41.11
41.1,41.12
71.0,71.1
324.0,324.1
79.0,79.1
79.0,79.2
79.0,79.9
53.0,53.1
381.1,381.11
70.0,70.1
70.0,70.2
70.0,70.3
70.0,70.4
70.0,70.9
130.0,130.1
90.0,90.2
90.0,90.3
110.0,110.1
110.0,110.11
110.0,110.13
110.0,110.12
110.0,110.2
110.1,110.11
110.1,110.13
110.1,110.12
112.0,112.3
117.0,117.2
117.0,117.1
117.0,117.3
117.0,117.4
134.0,134.1
480.0,480.1
480.0,480.2
480.0,480.3
480.0,480.11
480.0,480.12
480.0,480.13
480.0,480.5
132.0,132.1
145.0,145.1
145.0,145.2
145.0,145.3
145.0,145.4
145.0,145.5
149.0,149.1
149.0,149.2
149.0,149.3
149.0,149.9
149.0,149.4
149.0,149.5
153.0,153.2
153.0,153.3
155.0,155.1
159.0,159.2
159.0,159.3
159.0,159.4
165.0,165.1
170.0,170.1
170.0,170.2
172.2,172.21
172.2,172.22
180.0,180.1
180.0,180.3
184.1,184.11
187.0,187.2
187.0,187.1
187.0,187.8
191.1,191.11
198.0,198.1
198.0,198.2
198.0,198.3
198.0,198.4
198.0,198.7
198.0,198.5
198.0,198.6
202.2,202.22
202.2,202.23
202.2,202.24
202.2,202.21
202.0,202.2
202.0,202.22
202.0,202.23
202.0,202.24
202.0,202.21
204.0,204.4
204.0,204.1
204.0,204.11
204.0,204.12
204.0,204.2
204.0,204.21
204.0,204.22
204.0,204.3
204.1,204.11
204.1,204.12
204.2,204.21
204.2,204.22
199.0,199.4
195.0,195.1
189.1,189.11
189.1,189.12
214.0,214.1
216.0,216.1
218.0,218.1
218.0,218.2
224.0,224.1
225.0,225.1
225.0,225.2
227.0,227.1
227.0,227.2
227.0,227.3
228.0,228.1
229.0,229.1
172.0,172.11
172.0,172.2
172.0,172.21
172.0,172.22
172.0,172.3
172.0,172.1
174.0,174.11
174.0,174.2
174.0,174.1
174.0,174.3
174.1,174.11
189.2,189.21
189.0,189.21
189.0,189.4
189.0,189.11
189.0,189.12
189.0,189.1
189.0,189.2
184.0,184.1
184.0,184.11
184.0,184.2
191.0,191.11
191.0,191.1
241.0,241.1
241.0,241.2
242.0,242.1
242.0,242.2
242.0,242.3
242.0,242.31
244.0,244.5
244.0,244.1
244.0,244.3
244.0,244.2
244.0,244.4
245.0,245.1
245.0,245.21
245.0,245.2
245.2,245.21
246.0,246.2
246.0,246.7
250.0,250.2
250.0,250.1
250.0,250.21
250.0,250.11
250.0,250.22
250.0,250.12
250.0,250.23
250.0,250.13
250.0,250.24
250.0,250.14
250.0,250.25
250.0,250.15
250.0,250.6
250.0,250.7
250.0,250.4
250.0,250.41
250.0,250.42
250.0,250.5
250.0,250.3
250.2,250.21
250.2,250.22
250.2,250.23
250.2,250.24
250.2,250.25
250.1,250.11
250.1,250.12
250.1,250.13
250.1,250.14
250.1,250.15
251.0,251.1
251.0,251.8
258.0,258.1
252.0,252.1
252.0,252.2
253.0,253.11
253.0,253.1
253.0,253.2
253.0,253.5
253.0,253.4
253.0,253.3
253.0,253.7
253.1,253.11
255.0,255.11
255.0,255.12
255.0,255.3
255.0,255.1
255.0,255.2
255.0,255.21
255.0,255.22
255.0,255.13
255.1,255.11
255.1,255.12
255.1,255.13
255.2,255.21
255.2,255.22
256.0,256.1
256.0,256.4
257.0,257.1
259.0,259.8
259.0,259.3
259.0,259.4
259.0,259.2
259.0,259.1
260.2,260.21
260.2,260.22
260.0,260.21
260.0,260.22
260.0,260.2
260.0,260.6
260.0,260.7
260.0,260.3
260.0,260.1
261.0,261.1
261.0,261.2
261.0,261.3
261.0,261.4
261.0,261.41
