Parent,Child
90,360453
90,1115783
90,884745
90,1119625
90,884749
90,1115790
90,830735
90,884756
90,1086100
90,352790
90,1092388
90,1092394
90,1092396
90,1535149
90,1192495
90,880179
90,849078
90,219831
90,1089735
90,1292744
90,1870972
90,1014098
90,831573
90,1874904
90,1090009
90,451805
90,968674
90,858349
90,999533
90,439155
90,439157
90,830716
97,227257
97,328741
309,352782
309,827743
362,92818
362,216066
362,1490053
362,1733887
388,688705
388,891146
388,92267
388,583500
388,597005
388,891150
388,218963
388,1116151
388,1116149
388,214934
388,670295
388,216249
388,21659
624,468764
643,905153
643,905155
643,1595463
643,203503
643,905147
643,905151
866,57882
866,1043596
1115,151457
1115,905282
1115,905291
1115,220460
1115,393327
1115,151375
1115,905268
1115,905272
1219,152438
1219,966767
1225,1600515
1225,220677
1225,215561
1225,220682
1225,215563
1225,220683
1225,220689
1225,220690
1225,220691
1225,1048083
1225,220700
1225,1657899
1225,1657905
1225,215602
1225,1372722
1225,217655
1225,215608
1225,217656
1225,688695
1225,1048120
1225,1657911
1225,217667
1225,1372745
1225,219211
1225,1372749
1225,218191
1225,1000016
1225,1048146
1225,216156
1225,1372766
1225,1440870
1225,1739882
1225,1294456
1225,1044607
1225,92294
1225,92295
1225,1597576
1225,216716
1225,284812
1225,216721
1225,216722
1225,216723
1225,405138
1225,580253
1225,1547941
1225,1046710
1225,405185
1225,753345
1225,220360
1225,1047762
1225,1046756
1225,630505
1225,847084
1225,284911
1225,353524
1225,216309
1225,1047798
1225,353527
1225,1728761
1225,769
1225,1046785
1225,216326
1225,616210
1225,545042
1225,895766
1225,1046806
1225,96025
1225,1667867
1225,1667873
1225,1046819
1225,215337
1225,216876
1225,546604
1225,546607
1225,1245487
1225,1146685
1225,1047872
1225,1047880
1225,1048404
1225,219989
1225,797013
1225,1047894
1225,219992
1225,219993
1225,219994
1225,846168
1225,1048409
1225,1048414
1225,846176
1225,606562
1225,352618
1225,1047915
1225,853357
1225,1047942
1225,405384
1225,217993
1225,405385
1225,218003
1225,217492
1225,218004
1225,1738131
1225,831902
1225,1037229
1225,608686
1225,220592
1225,215473
1225,1037233
1225,261558
1225,541626
1225,1039802
1225,998338
1225,115141
1225,541638
1225,1046981
1225,1046995
1225,1251285
1225,352753
1225,1037297
1225,352760
1348,966563
1348,226084
1348,966628
1348,966535
1348,1248841
1348,966539
1348,202380
1348,202381
1348,202382
1348,966764
1348,966544
1348,151414
1348,858134
1362,1049088
1362,1146880
1362,220674
1362,215558
1362,1049097
1362,1085965
1362,1363470
1362,1092624
1362,1241616
1362,1092628
1362,1437719
1362,1090073
1362,1088539
1362,1438755
1362,1292325
1362,215595
1362,215596
1362,1190447
1362,1111092
1362,220726
1362,215095
1362,2200118
1362,1087034
1362,1094715
1362,1020476
1362,746558
1362,1292352
1362,215618
1362,1292356
1362,604229
1362,1292358
1362,1926216
