Code Range,CCS,CCS Label
'61000-61001',1,Incision and excision of CNS
'61020-61020',1,Incision and excision of CNS
'61026-61026',1,Incision and excision of CNS
'61050-61050',1,Incision and excision of CNS
'61055-61055',1,Incision and excision of CNS
'61105-61105',1,Incision and excision of CNS
'61108-61108',1,Incision and excision of CNS
'61120-61120',1,Incision and excision of CNS
'61150-61151',1,Incision and excision of CNS
'61154-61154',1,Incision and excision of CNS
'61156-61156',1,Incision and excision of CNS
'61250-61250',1,Incision and excision of CNS
'61253-61253',1,Incision and excision of CNS
'61304-61305',1,Incision and excision of CNS
'61312-61315',1,Incision and excision of CNS
'61320-61323',1,Incision and excision of CNS
'61340-61340',1,Incision and excision of CNS
'61345-61345',1,Incision and excision of CNS
'61510-61510',1,Incision and excision of CNS
'61512-61512',1,Incision and excision of CNS
'61514-61514',1,Incision and excision of CNS
'61516-61516',1,Incision and excision of CNS
'61518-61519',1,Incision and excision of CNS
'61520-61522',1,Incision and excision of CNS
'61524-61524',1,Incision and excision of CNS
'61526-61526',1,Incision and excision of CNS
'61530-61530',1,Incision and excision of CNS
'61534-61539',1,Incision and excision of CNS
'61540-61541',1,Incision and excision of CNS
'61543-61545',1,Incision and excision of CNS
'61556-61557',1,Incision and excision of CNS
'61570-61571',1,Incision and excision of CNS
'61575-61576',1,Incision and excision of CNS
'61582-61586',1,Incision and excision of CNS
'61590-61592',1,Incision and excision of CNS
'61595-61596',1,Incision and excision of CNS
'61598-61598',1,Incision and excision of CNS
'61600-61601',1,Incision and excision of CNS
'61605-61608',1,Incision and excision of CNS
'61615-61616',1,Incision and excision of CNS
'61720-61720',1,Incision and excision of CNS
'61735-61735',1,Incision and excision of CNS
'61880-61880',1,Incision and excision of CNS
'62161-62162',1,Incision and excision of CNS
'62164-62164',1,Incision and excision of CNS
'61107-61107',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'61210-61210',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62160-62160',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62180-62180',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62190-62190',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62192-62192',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62194-62194',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62200-62201',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62220-62220',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62223-62223',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62225-62225',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62230-62230',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62252-62252',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62256-62256',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'62258-62258',2,"Insertion, replacement, or removal of extracranial ventricular shunt"
'0202T-0202T',3,"Laminectomy, excision intervertebral disc"
'0274T-0274T',3,"Laminectomy, excision intervertebral disc"
'0275T-0275T',3,"Laminectomy, excision intervertebral disc"
'22856-22856',3,"Laminectomy, excision intervertebral disc"
'22858-22858',3,"Laminectomy, excision intervertebral disc"
'22861-22861',3,"Laminectomy, excision intervertebral disc"
'22864-22864',3,"Laminectomy, excision intervertebral disc"
