CCS,CPT
1,61510
1,61590
1,61050
1,61556
1,61314
1,61536
1,61320
1,61313
1,61340
1,61720
1,61519
1,61571
1,61607
1,61545
1,61312
1,61543
1,61001
1,61530
1,61616
1,61591
1,61582
1,61598
1,61522
1,62161
1,61156
1,61055
1,61539
1,61151
1,61526
1,61592
1,61534
1,61557
1,62164
1,61516
1,61020
1,61576
1,61600
1,61586
1,61250
1,61520
1,61608
1,61253
1,61595
1,61026
1,61585
1,61524
1,61540
1,61583
1,61541
1,61606
1,61105
1,61120
1,61304
1,61518
1,61154
1,61535
1,61521
1,61345
1,61584
1,61514
1,61305
1,61315
1,61570
1,61880
1,62162
1,61601
1,61544
1,61108
1,61000
1,61512
1,61322
1,61150
1,61615
1,61537
1,61605
1,61575
1,61321
1,61323
1,61735
1,61538
1,61596
2,62225
2,62180
2,62258
2,62201
2,61107
2,62192
2,62220
2,62223
2,62252
2,62230
2,62200
2,62160
2,62256
2,62190
2,61210
2,62194
3,63190
3,22864
3,63057
3,63252
3,63250
3,63066
3,63035
3,63042
3,63194
3,22856
3,0274T
3,63086
3,63030
3,0275T
3,63044
3,63085
3,63087
3,63050
3,63251
3,63040
3,63003
3,63081
3,63078
3,63015
3,63047
3,62287
3,63011
3,63045
3,63056
3,62380
3,63172
3,63075
3,63020
3,63082
3,63012
3,63173
3,63197
3,63200
3,63076
3,63191
3,63196
3,63199
3,63090
3,63655
3,61343
3,63005
3,63091
3,63185
3,22858
3,63195
3,63051
3,63064
3,0202T
3,63043
3,63077
3,63055
3,63001
3,63088
3,63101
3,63103
3,63170
3,22861
3,63740
3,63102
3,63709
3,63198
3,63017
3,63046
3,62351
3,63016
3,63048
4,62272
4,62270
5,64446
5,64416
5,64480
5,62281
5,62324
5,63688
5,62282
5,63600
5,63663
5,64448
5,64462
5,62350
5,64463
5,63662
5,63685
5,62355
5,62264
5,62321
5,62325
5,62326
5,62320
5,63650
5,63664
5,62322
5,62263
5,64479
5,64483
5,64461
5,62327
5,62323
5,63661
5,63610
5,62280
5,64449
5,64484
6,64722
6,64712
6,64721
6,64708
6,64702
6,64714
6,64719
6,64718
6,64704
6,29848
6,28035
6,64716
6,64727
6,64726
6,64713
7,95937
7,95939
7,95943
7,95836
7,95971
7,0534T
7,0533T
7,95925
7,95807
7,95875
7,95967
7,96001
7,62267
7,95970
7,95867
7,96020
7,0108T
7,0434T
7,95927
7,0107T
7,95782
7,95810
7,64795
7,95806
7,95977
7,96112
7,95928
7,95938
7,0110T
7,61140
7,95874
7,95983
7,61750
7,95805
7,0536T
7,95982
7,96000
7,95908
7,95940
7,0436T
