CPT code,String,Layer
19302,MASTECTOMY PARTIAL W/AXILLARY LYMPHADENECTOMY,1
24359,TNOT ELBOW LATERAL/MEDIAL DEBRIDE OPEN TDN RPR,1
27760,CLTX MEDIAL MALLEOLUS FX W/O MANIPULATION,1
29905,ARTHROSCOPY SUBTALAR JOINT WITH SYNOVECTOMY,1
30140,SUBMUCOUS RESCJ INFERIOR TURBINATE PRTL/COMPL,1
31530,LARYNGOSCOPY W/FOREIGN BODY REMOVAL,1
33677,CLOSURE MULTIPLE VSD W/REMOVAL ARTERY BAND,1
35305,TEAEC W/GRAFT TIBIAL/PERONEAL ART 1ST VESSEL,1
43772,LAPS GASTRIC RESTRICTIVE PX REMOVE DEVICE,1
43774,LAPS GASTRIC RESTRICTIVE PX REMOVE DEVICE & PORT,1
44211,LAPS COLCT TTL ABD W/PRCTECT ILEOANAL ANASTOMSIS,1
46712,RPR ILEOANAL POUCH FSTL/POUCH ADVMNT CMBN APPR,1
49440,INSERT GASTROSTOMY TUBE PERCUTANEOUS,1
49441,INSERT DUODENOSTOMY/JEJUNOSTOMY TUBE PERQ,1
51101,ASPIRATION BLADDER TROCAR/INTRACATHETER,1
58542,LAPS SUPRACRV HYSTERECT 250 GM/< RMVL TUBE/OVAR,1
58544,LAPS SUPRACRV HYSTEREC >250 G RMVL TUBE/OVARY,1
64595,REVISION/RMVL PERIPHERAL/GASTRIC NPGR,1
64653,CHEMODENERVATION ECCRINE GLANDS OTH AREA PER DAY,1
67043,VITRECTOMY PARS PLANA REMOVE SUBRETINAL MEMBRANE,1
75557,CARDIAC MRI MORPHOLOGY & FUNCTION W/O CONTRAST,1
77012,CT GUIDANCE NEEDLE PLACEMENT,1
77054,MAMMARY DUCTOGRAM OR GALACTOGRAM MULTIPLE,1
77072,BONE AGE STUDIES,1
77373,STEREOTACTIC BODY RADIATION DELIVERY,1
78601,BRAIN IMAGING <4 STATIC VIEWS W/VASCULAR FLOW,1
78707,KIDNEY IMG MORPHOLOGY VASCULAR FLOW 1 W/O RX,1
82805,GASES BLOOD PH DIRECT MEAS XCPT PULSE OXIMITRY,1
91020,GASTRIC MOTILITY MANOMETRIC STUDIES,1
92630,AUDITORY REHABILITATION PRELINGUAL HEARING LOSS,1
96423,CHEMOTHERAPY ADMN INTRAARTERIAL INFUSION EA HR,1
96904,WHOLE BODY INTEGUMENTARY PHOTOGRAPHY,1
98968,NONPHYSICIAN TELEPHONE ASSESSMENT 21-30 MIN,1
99326,DOMICIL/REST HOME NEW PT HI-MOD SEVER 45 MINUTES,1
99334,DOM/R-HOME E/M EST PT SELF-LMTD/MINOR 15 MINUTES,1
99336,DOM/R-HOME E/M EST PT MOD HI SEVERITY 40 MINUTES,1
99367,TEAM CONFERENCE NON-FACE-TO-FACE PHYSICIAN,1
0012F,COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSMT,1
1004F,CLINICAL SYMPTOMS VOL OVERLOAD ASSESSED,1
1007F,ANTI-INFLAMMATORY/ANALGESIC SYMPTOM RELIEF ASSES,1
1022F,PNEUMOCOCCUS IMMUNIZATION STATUS ASSESSED,1
1055F,VISUAL FUNCTIONAL STATUS ASSESSED,1
1066F,ISCHEMIC STROKE SYMP ONSET >/=3 HRS PRIOR ARRIVA,1
2028F,FOOT EXAMINATION PERFORMED,1
