Phecode,ICD code
008,A01.4
008,A00.1
008,A00
008,A00.0
008,A06.8
008,006.6
008,006.2
008,A06.3
008,A01.1
008,021.1
008,A01.3
008,007
008,A09
008,002.1
008,006.3
008,007.3
008,007.5
008,009.2
008,009
008,001.9
008,001.0
008,A01.2
008,A06.9
008,006.5
008,022.2
008,A22.2
008,002
008,007.2
008,001.1
008,002.9
008,A06.5
008,007.9
008,A05.9
008,A06.7
008,A07
008,001
008,006.4
008,006
008,009.1
008,A06
008,A07.9
008,A07.3
008,009.3
008,A06.2
008,A01
008,008
008,A21.3
008,A06.6
008,A06.0
008,005.9
008,006.0
008,009.0
008,006.9
008,A00.9
008,006.8
008,002.2
008,002.3
008,A06.4
008.5,A04.9
008.5,A02.0
008.5,003.2
008.5,003.9
008.5,008.42
008.5,005.0
008.5,005.1
008.5,004.2
008.5,008.2
008.5,004.1
008.5,003.8
008.5,005.2
008.5,A02
008.5,008.5
008.5,003.20
008.5,008.4
008.5,A05.3
008.5,A03.9
008.5,A05.2
008.5,004.0
008.5,008.3
008.5,A02.8
008.5,A03.8
008.5,005.81
008.5,A03
008.5,005
008.5,004.3
008.5,002.0
008.5,A05.0
008.5,A05.4
008.5,004
008.5,008.43
008.5,A05.1
008.5,008.47
008.5,004.9
008.5,003.29
008.5,A04.5
008.5,005.8
008.5,008.1
008.5,A02.2
008.5,005.3
008.5,003
008.5,A03.1
008.5,004.8
008.5,A03.3
008.5,005.4
008.5,003.0
008.5,A02.9
008.5,A04.6
008.5,A04.8
008.5,A03.2
008.5,008.49
008.5,A01.0
008.5,A03.0
008.5,A05.8
008.5,008.46
008.5,008.41
008.5,008.44
008.5,005.89
038.1,A41.5
038.1,003.1
038.1,038.44
038.1,A20.7
038.1,038.49
038.1,A40.8
038.1,036.2
038.1,A41.3
038.1,038.0
038.1,020.2
038.1,038.4
038.1,038.41
038.1,A39.3
038.1,038.42
038.1,A02.1
038.1,A40.9
038.1,A40
038.1,A40.1
038.1,A40.2
038.1,038.43
038.1,A39.2
038.1,038.40
038.1,A39.4
038.1,A40.0
320,320.8
320,321.3
320,114.2
320,G00.1
320,049.1
320,G03.1
320,G00.0
320,003.21
320,049.0
320,G03.9
320,B02.1
320,321.1
320,047.9
320,322.2
320,320.3
320,320.81
320,G01
320,322.0
320,A87.2
320,B45.1
320,320.7
320,G00.3
320,G02.0
320,A87.0
320,100.81
320,320.0
320,112.83
320,A87.1
320,322
320,322.1
320,B38.4
320,047.0
320,321.2
320,322.9
320,G03
320,320
320,320.1
320,B00.3
320,B01.0
320,321.8
320,A87
320,G03.0
320,321.0
320,047.1
320,054.72
320,321
320,B26.1
320,G02.1
320,G04.2
320,047.8
320,B37.5
320,036.0
320,G00.2
320,G03.2
320,G00
320,320.89
320,G02
320,A87.9
320,053.0
320,047
320,G00.9
320,072.1
320,A87.8
320,A39.0
320,320.82
320,320.2
320,G00.8
320,320.9
480.1,J15.0
480.1,482.0
480.1,484.5
480.1,J16.0
480.1,J15.6
480.1,A22.1
480.1,482.39
480.1,A43.0
480.1,020.3
480.1,482.40
480.1,A48.1
480.1,021.2
480.1,J15.3
480.1,A31.0
480.1,020.4
480.1,483.0
480.1,482.4
480.1,482.49
480.1,482.2
480.1,484.3
480.1,A78
480.1,J15.2
480.1,039.1
480.1,020.5
480.1,482.30
480.1,083.0
480.1,J15.8
480.1,482.81
480.1,B96.1
480.1,031.0
480.1,482.32
480.1,483.1
480.1,B96.0
480.1,482.31
480.1,003.22
480.1,J15.4
480.1,482.83
480.1,A21.2
480.1,482.84
480.1,J15.9
480.1,482
480.1,482.89
480.1,482.8
480.1,A20.2
480.1,482.82
480.1,482.3
480.1,022.1
480.1,482.42
480.1,A42.0
480.1,J14
480.1,J15.7
480.1,073.0
480.1,482.9
480.1,J15.5
711,711.37
711,711.9
711,711.97
711,711.58
711,711.92
711,711.34
711,711.50
711,M02.1
711,711.77
711,711.35
711,711.51
711,711.39
711,711.91
711,711.89
711,711.87
711,711.61
711,711.84
711,711.88
711,M01
711,098.50
711,711.64
711,711.90
711,711.54
711,711.82
711,711.73
711,M01.4
711,711.94
711,711.55
711,M07.6
711,M02.8
711,711.62
711,711.60
711,711.40
711,711.66
711,711.30
711,711.74
711,M01.0
711,711.52
711,711.78
711,711.4
711,711.46
711,711.79
711,711.83
711,711.93
711,A25.1
711,M03.0
711,711.44
711,711.65
711,711.95
711,711.86
711,711.45
711,711.49
711,056.71
711,711.72
711,711.32
711,M01.2
711,M01.6
711,711.68
711,711.99
711,711.81
711,711.33
711,M00.8
711,711.56
711,003.23
711,711.36
711,711.7
711,026.1
711,711.85
711,711.5
711,711.67
711,711.42
711,711.6
711,711.8
711,711.3
711,711
711,711.75
711,711.47
711,711.69
711,036.82
711,711.41
711,711.71
711,711.43
711,711.38
711,711.76
711,711.63
711,711.70
711,711.98
711,711.31
711,711.53
711,711.59
