Phecode,ICD string,Layer
008,Enteric tularemia,3
008,"Protozoal intestinal disease, unspecified",3
008,Amebic lung abscess,3
008,Typhoid and paratyphoid fevers,3
008,Intestinal infections due to other organisms,3
008,Paratyphoid fever B,3
008,Other protozoal intestinal diseases,3
008,Cholera NOS,3
008,Amebic liver abscess,3
008,Paratyphoid fever C,3
008,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",3
008,Cholera due to Vibrio cholerae el tor,3
008,Amebic infection of other sites,3
008,Amoebic brain abscess,3
008,Gastrointestinal anthrax,3
008,Amoeboma of intestine,3
008,Paratyphoid fever A,3
008,Amebic brain abscess,3
008,Diarrhea of presumed infectious origin,3
008,Other gastroenteritis and colitis of infectious and unspecified origin,3
008,Acute amoebic dysentery,3
008,Acute amebic dysentery without mention of abscess,3
008,Cholera due to Vibrio cholerae,3
008,Paratyphoid fever NOS,3
008,Cutaneous amoebiasis,3
008,Gastrointestinal tularaemia,3
008,Amebiasis NOS,3
008,Cholera,3
008,Amoebic lung abscess,3
008,Amoebic liver abscess,3
008,Isosporiasis,3
008,Amoebic infection of other sites,3
008,"Paratyphoid fever, unspecified",3
008,"Amoebiasis, unspecified",3
008,"Cholera due to Vibrio cholerae 01, biovar eltor",3
008,Paratyphoid fever A,3
008,Amebic skin ulceration,3
008,Cyclosporiasis,3
008,Gastrointestinal anthrax,3
008,Coccidiosis,3
008,"Cholera due to Vibrio cholerae 01, biovar cholerae",3
008,Amoebiasis,3
008,"Infectious colitis, enteritis, and gastroenteritis",3
008,Amoebic nondysenteric colitis,3
008,Typhoid and paratyphoid fevers,3
008,Paratyphoid fever B,3
008,Ill-defined intestinal infections,3
008,Amebic nondysenteric colitis,3
008,"Cholera, unspecified",3
008,Paratyphoid fever C,3
008,Unspecified protozoal intestinal disease,3
008,"Bacterial foodborne intoxication, unspecified",3
008,Other protozoal intestinal diseases,3
008,Intestinal trichomoniasis,3
008,Infectious diarrhea,3
008,Cholera,3
008,Food poisoning NOS,3
008,Amebiasis,3
008.5,Localized salmonella infections,2
008.5,Other bacterial food poisoning,2
008.5,Localized salmonella infections,2
